coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,paper_V_mean,paper_V_std,paper_L_mean,paper_L_std,flash,agtron
12.881,23.822,150.829,26.898,76.268,34.795,56.525,31.634,139.397,3.854,143.238,7.983,53.788,27.515,178.13,2.162,178.202,1.268,0,Agtron 55
12.048,21.328,152.887,26.401,78.01,34.385,57.596,31.124,139.881,3.86,143.743,7.965,54.661,26.974,178.13,2.162,178.202,1.268,0,Agtron 55
13.189,24.277,151.504,25.768,79.297,34.783,59.146,31.961,139.696,3.753,143.807,7.732,56.064,27.886,178.13,2.162,178.202,1.268,0,Agtron 55
11.729,19.971,152.468,24.524,79.473,33.741,58.989,31.144,140.032,3.745,143.738,7.405,55.898,27.144,178.13,2.162,178.202,1.268,0,Agtron 55
12.352,21.665,149.921,24.661,79.815,34.592,59.886,32.092,139.566,3.73,143.707,7.698,56.751,28.011,178.13,2.162,178.202,1.268,0,Agtron 55
11.661,17.946,154.138,24.348,80.043,34.674,59.636,31.87,139.803,3.735,144.269,7.731,56.448,27.777,178.13,2.162,178.202,1.268,0,Agtron 55
12.027,11.148,163.622,22.689,92.091,35.072,69.773,32.424,140.686,3.412,148.521,7.999,65.04,28.685,178.46,1.89,179.238,1.651,0,Agtron 65
12.289,11.166,158.837,24.261,91.202,36.208,70.225,33.881,139.689,3.508,147.892,8.215,65.61,30.024,178.46,1.89,179.238,1.651,0,Agtron 65
12.248,10.615,160.184,24.832,91.845,36.718,70.539,34.224,139.839,3.509,148.183,8.351,65.872,30.23,178.46,1.89,179.238,1.651,0,Agtron 65
12.231,12.026,159.236,24.056,89.991,36.415,68.976,34.007,139.727,3.548,147.678,8.426,64.514,30.055,178.46,1.89,179.238,1.651,0,Agtron 65
12.339,14.217,158.743,24.591,88.797,35.748,67.725,33.239,139.866,3.553,147.278,8.309,63.38,29.271,178.46,1.89,179.238,1.651,0,Agtron 65
12.381,12.897,159.471,24.074,91.501,36.356,70.15,34.112,139.964,3.469,147.877,8.126,65.558,30.171,178.46,1.89,179.238,1.651,0,Agtron 65
